Mk	Serials	Sqns	Fate
Hornet F1	PX210	AAEE	To 6149M 10.46 NTU
Hornet F1	PX211	Mkrs/AAEE/RAE	SOC 6.2.47
Hornet F1	PX212	RAE	To Admiralty 25.3.46
Hornet F1	PX213	Mkrs	SS 18.1.51
Hornet F1	PX214	RAE	To Admiralty 17.4.46
Hornet F1	PX215	Mkrs	SOC 25.11.46
Hornet F1	PX216	Mkrs/PRDU/Yorks Sector	To 6685M 5.12.49
Hornet F1	PX217	AAEE	SS 18.1.51
Hornet F1	PX218	AAEE	SS 18.1.51
Hornet F1	PX219	Mkrs/AAEE	MoS aircraft
Hornet F1	PX220	Mkrs/AAEE	SS 18.1.51
Hornet F1	PX221	AAEE	SS 31.8.49
Hornet F1	PX222	TRE/AAEE	To Admiralty 14.8.47
Hornet F1	PX223	AAEE	SS 18.1.51
Hornet F1	PX224	CFE	SS 31.8.49
Hornet F1	PX225	ECFS/65	SS 22.1.51
Hornet F1	PX226	65	SS 18.1.51
Hornet F1	PX227	1FU/FE	Tropical trials aircraft SOC 31.7.47
Hornet F1	PX228		Tropical trials aircraft SOC 29.9.49
Hornet F1	PX229	Mkrs/RAE	Flew into high ground in bad visibility nr Charterhouse Somerset 12.11.46
Hornet F1	PX230	AAEE	NF21 prototype abandoned after engine fell out nr Boscombe Down 16.5.47
Hornet F1	PX231	65/226 OCU	To 6612M 29.9.49
Hornet F1	PX232	65/41	SS 18.1.51
Hornet F1	PX233	64/19	Stalled on single-engined overshoot at night crashed 1/2m W of Church Fenton 21.11.47
Hornet F1	PX234	64/19	SS 18.1.51
Hornet F1	PX235		SS 18.1.51
Hornet F1	PX236	64	SS 22.1.51
Hornet F1	PX237	19/Eastern Sector/12 Gp CF	To MoS 9.2.49
Hornet F1	PX238	226 OCU	To 6696M 8.49
Hornet F1	PX239		To Admiralty 1.12.47 as F.20
Hornet F1	PX240	65	SS 22.1.51
Hornet F1	PX241	64	SS 22.1.51
Hornet F1	PX242	65/41	SOC 4.7.49
Hornet F1	PX243	10MU	Bounced on landing and u/c collapsed Hullavington 9.5.46 DBF
Hornet F1	PX244	64/41	Both engines cut hit hedge in forced landing 6m NW of Derby 4.11.48 DBR
Hornet F1	PX245	ML Avn	SOC 25.3.48
Hornet F1	PX246	64/19	SS 18.1.51
Hornet F1	PX247	64	SS 22.1.51
Hornet F1	PX248	64/19	To MoS 9.2.49
Hornet F1	PX249	AAEE/ECFS	SS 24.8.49
Hornet F1	PX250	64/19	SS 24.8.49
Hornet F1	PX251	64	SS 22.1.51
Hornet F1	PX252	65/41/226 OCU	Dived into ground on overshoot Bentwaters 8.1.49
Hornet F1	PX253	64	Port engine brokeaway crashed 1/2m NE of High Green Norfolk 7.5.46
Hornet F1	PX273	Horsham St.Faith/32MU	Flew into hill in cloud nr Penderyn Brecon 30.9.46
Hornet F1	PX274	64	Flew into high ground in cloud Bacup Lancs. 22.12.47
Hornet F1	PX275	CFE/12 Gp CF	SS 22.1.51
Hornet F1	PX276	64/19	SS 18.1.51
Hornet F1	PX277	65/19/41	Hit by PX307 while parked Church Fenton 11.1.49 to 6658M 5.49
Hornet F1	PX278	65/19/41	SS 22.1.51
Hornet F1	PX279	64	SS 22.1.51
Hornet F1	PX280	65	SS 18.1.51
Hornet F1	PX281	226OCU	SS 30.1.50
Hornet F1	PX282	65/Church Fenton/64	Stalled on approach and hit ground Linton-on-Ouse 10.12.47 DBF
Hornet F1	PX283	64	Hit trees low flying 1m NNE of Wroxham Norfolk 20.3.46
Hornet F1	PX284	64/19	Collided with Lancaster TW647 during fighter affiliation and crashed Stanford Norfolk 11.11.47
Hornet F1	PX285	64	SS 17.3.49
Hornet F1	PX286	FCCS	SS 18.1.51
Hornet F1	PX287	64	SS 22.1.51
Hornet F1	PX288	RR	SS 22.1.51
Hornet F3	PX289	Mkrs/41/33/45	SOC 26.4.55
Hornet F3	PX290	Mkrs	Swung on landing Hatfield 30.6.47 DBR
Hornet F3	PX291	AAEE	SOC 27.5.55
Hornet F3	PX292	HCF Linton-on-Ouse/FETS	SOC 18.5.55
Hornet F3	PX293	19/33/45	SOC 27.5.55
Hornet F3	PX294	19/41/80	SOC 29.3.55
Hornet F3	PX295	64/Bovingdon/FETS	Overstressed 27.5.54 SOC
Hornet F3	PX296	64	SOC 27.5.55
Hornet F3	PX297	41/80	SOC 18.5.55
Hornet F3	PX298	41/64/33	SOC 11.2.54
Hornet F3	PX299	Yorks Sector/Linton-on-Ouse/Cv F.4	SOC 27.5.55
Hornet F3	PX300	41	SOC 27.5.55
Hornet F3	PX301	65/19/Cv F.4	SOC 22.5.55
Hornet F3	PX302	41/33	Engine cut on take-off swung and hit WF971 Butterworth 29.7.54
Hornet F3	PX303	Mkrs/64/65	Collided with PX359 on takeoff Linton-on-Ouse 4.9.50 DBR
Hornet F3	PX304	12 Gp CF/65/Cv F.4	SOC 27.5.55
Hornet F3	PX305	65/HCF Linton-on-Ouse/33	Engine cut bellylanded Butterworth 28.10.54
Hornet F3	PX306	19/33/45	SOC 16.5.55
Hornet F3	PX307	41	Engine ran away jumped chocks hit PX277 and DBR Church Fenton 11.1.49
Hornet F3	PX308	41	Hit pole on GCA approach and crashed Linton-on-Ouse 8.1.51 DBF
Hornet F3	PX309	Manby/FETS	SOC 27.5.55
Hornet F3	PX310	Mkrs/45	SOC 27.5.55
Hornet F3	PX311	Mkrs/HCF Linton-on-Ouse/33	Engines cut bellylanded at Butterworth 14.10.54
Hornet F3	PX312	AAEE/45	SOC 26.4.55
Hornet F3	PX313	Church Fenton/FETS	Bellylanded in error Seletar 10.5.54
Hornet F3	PX314	41	SOC 31.7.55
Hornet F3	PX315	Mkrs	Overshot landing and overturned Hatfield 6.9.46
Hornet F3	PX328	65/33/45	SOC 28.4.55
Hornet F3	PX329	OFU/Cv F.4	SOC 27.5.55
Hornet F3	PX330	65/41	Overshot night landing Church Fenton 6.6.50 DBR
Hornet F3	PX331	10MU	Caught fire in hangar Hullavington 24.5.50 DBR
Hornet F3	PX332	19/45	Canopy shattered 16.2.55 airframe DBR
Hornet F3	PX333	41	Lost height during single-engined flying practice and bellylanded 1m E of Acaster Malbis airfield 23.8.49
Hornet F3	PX334	64/Cv F.4/80	SOC 18.5.55
Hornet F3	PX335	65/33/45	SOC 27.5.55
Hornet F3	PX336	Mkrs/W.Raynham/AAEE/Mkrs	SOC 27.5.55
Hornet F3	PX337	65/Cv F.4	SOC 27.5.55
Hornet F3	PX338	19/33	U/c jammed belly-landed at Butterworth 11.3.53
Hornet F3	PX339	65/64/FETS	SOC 13.3.53
Hornet F3	PX340	65/64/FETS	SOC 12.11.54
Hornet F3	PX341	64	SOC 31.10.55
Hornet F3	PX342	19/33/45	SOC 27.5.55
Hornet F3	PX343	19/80	SOC 14.4.55
Hornet F3	PX344	64/FETS	Crashed 14m E of Malacca 1.4.53 believed flew into obstruction in cloud
Hornet F3	PX345	64/80	SOC 6.5.55
Hornet F3	PX346	19/65/64/Cv F.4/33/45	SOC 26.4.45
Hornet F3	PX347	19/Mkrs/AAEE	SOC 27.5.55
Hornet F3	PX348	CFE/65/1689 Flt/33/45	SOC 27.5.55
