PM,Start,End
Robert Walpole,1721,1742
Spencer Compton,1742,1743
Henry Pelham,1743,1754
Thomas Pelham-Holles,1754,1756
William Cavendish,1756,1757
Thomas Pelham-Holles,1757,1762
John Stuart,1762,1763
George Grenvill,1763,1765
Charles Watson Wentworth,1765,1766
William Pitt — the Elder,1766,1768
Augustus Henry Fitzroy,1768,1770
Frederick North,1770,1782
Charles Watson Wentworth,1782,1782
William Petty-Fitzmaurice,1782,1783
William Henry Cavendish-Bentinck,1783,1783
William Pitt — the Younger,1783,1801
Henry Addington,1801,1804
William Pitt — the Younger,1804,1806
William Wyndham Grenville,1806,1807
William Henry Cavendish-Bentinck,1807,1809
Spencer Perceval,1809,1812
Robert Banks Jenkinson,1812,1827
George Canning,1827,1827
Frederick John Robinson,1827,1828
Arthur Wellesley,1828,1830
Charles Grey,1830,1834
William Lamb,1834,1834
Arthur Wellesley,1834,1834
Robert Peel,1834,1835
William Lamb,1835,1841
Robert Peel,1841,1846
John Russell,1846,1852
Edward Geoffrey Stanley,1852,1834
George Hamilton-Gordon,1852,1855
Henry John Temple,1855,1858
Edward Geoffrey Stanley,1858,1859
Henry John Temple,1859,1865
John Russell,1865,1866
Edward Geoffrey Stanley,1866,1868
Benjamin Disraeli,1868,1868
William Ewart Gladstone,1868,1874
Benjamin Disraeli,1874,1880
William Ewart Gladstone,1880,1885
Robert Cecil,1885,1886
William Ewart Gladstone,1886,1886
Robert Cecil,1886,1892
William Ewart Gladstone,1892,1894
Archibald Philip Primrose,1894,1895
Robert Cecil,1895,1902
Arthur James Balfour,1902,1905
Henry Campbell-Bannerman,1905,1908
H.H. Asquith,1908,1916
David Lloyd George,1916,1922
Bonar Law,1922,1923
Stanley Baldwin,1923,1924
Ramsay Macdonald,1924,1924
Stanley Baldwin,1924,1929
Ramsay Macdonald,1929,1935
Stanley Baldwin,1935,1937
Neville Chamberlain,1937,1940
Winston Churchill,1940,1945
Clement Attlee,1945,1951
Winston Churchill,1951,1955
Anthony Eden,1955,1957
Harold Macmillan,1957,1963
Alec Douglas-Home,1963,1964
Harold Wilson,1964,1970
Edward Heath,1970,1974,
Harold Wilson,1974,1976
James Callaghan,1976,1979
Margaret Thatcher,1979,1990
John Major,1990,1997
Tony Blair,1997,2007
Gordon Brown,2007,2010
David Cameron,2010,2016
Theresa May,2016,2019
Boris Johnson,2019,2022
Liz Truss,2022,2022
