Parent ID,Item Type,Parent Document,Child ID,Item Type,Child Document
UTICA-2310,User Requirement,URSCIC,MASTER-17394,System Requirement,SyBTE
UTICA-2310,User Requirement,URSCIC,MASTER-17394,System Requirement,SyCIC
UTICA-6117,User Requirement,URSCIC,MASTER-17121,System Requirement,SyCIC
UTICA-6118,User Requirement,URSCIC,MASTER-17121,System Requirement,SyCIC
UTICA-6378,User Requirement,URSCIC,UTICA-2495,System Requirement,SyBTE
UTICA-6378,User Requirement,URSCIC,UTICA-2495,System Requirement,SyCIC
UTICA-6849,User Requirement,URSCIC,UTICA-2495,System Requirement,SyBTE
UTICA-6849,User Requirement,URSCIC,UTICA-2495,System Requirement,SyCIC
MASTER-6167,User Requirement,URSCIC,MASTER-20049,System Requirement,SyBTE
MASTER-6167,User Requirement,URSCIC,UTICA-211,System Requirement,SyBTE
MASTER-6167,User Requirement,URSCIC,MASTER-20049,System Requirement,SyCIC
MASTER-6167,User Requirement,URSCIC,MASTER-16473,System Requirement,Thrive
MASTER-6167,User Requirement,URSCIC,UTICA-6410,System Requirement,Thrive
MASTER-6168,User Requirement,URSCIC,MASTER-20049,System Requirement,SyBTE
MASTER-6168,User Requirement,URSCIC,UTICA-211,System Requirement,SyBTE
MASTER-6168,User Requirement,URSCIC,MASTER-20049,System Requirement,SyCIC
MASTER-6182,User Requirement,URSCIC,MASTER-17131,System Requirement,SyBTE
MASTER-6182,User Requirement,URSCIC,UTICA-164,System Requirement,SyBTE
MASTER-6182,User Requirement,URSCIC,MASTER-17131,System Requirement,SyCIC
MASTER-6188,User Requirement,URSCIC,MASTER-42251,System Requirement,SyBTE
MASTER-6188,User Requirement,URSCIC,MASTER-42251,System Requirement,SyCIC
MASTER-6193,User Requirement,URSCIC,MASTER-20049,System Requirement,SyBTE
MASTER-6193,User Requirement,URSCIC,MASTER-42251,System Requirement,SyBTE
MASTER-6193,User Requirement,URSCIC,UTICA-211,System Requirement,SyBTE
MASTER-6193,User Requirement,URSCIC,MASTER-20049,System Requirement,SyCIC
MASTER-6193,User Requirement,URSCIC,MASTER-42251,System Requirement,SyCIC
MASTER-6206,User Requirement,URSCIC,MASTER-17131,System Requirement,SyBTE
MASTER-6206,User Requirement,URSCIC,MASTER-17131,System Requirement,SyCIC
MASTER-6238,User Requirement,URSCIC,MASTER-17275,System Requirement,SyBTE
MASTER-6238,User Requirement,URSCIC,MASTER-17275,System Requirement,SyCIC
MASTER-6239,User Requirement,URSCIC,MASTER-17285,System Requirement,SyBTE
MASTER-6239,User Requirement,URSCIC,MASTER-17287,System Requirement,SyBTE
MASTER-6239,User Requirement,URSCIC,MASTER-17288,System Requirement,SyBTE
MASTER-6239,User Requirement,URSCIC,UTICA-165,System Requirement,SyBTE
MASTER-6239,User Requirement,URSCIC,MASTER-17285,System Requirement,SyCIC
MASTER-6239,User Requirement,URSCIC,MASTER-17288,System Requirement,SyCIC
MASTER-6241,User Requirement,URSCIC,MASTER-17284,System Requirement,SyCIC
